word,anger,disgust,fear,joy,sadness,surprise,hope,preproc_word
damage,1,1,0,0,1,0,0,damag
scold,1,1,1,0,1,0,0,scold
beating,1,0,1,0,1,0,0,beat
antithesis,1,0,0,0,0,0,0,antithesi
involvement,1,0,0,0,0,0,0,involv
warrior,1,0,1,0,0,0,0,warrior
pillage,1,1,1,0,0,0,0,pillag
tyrannical,1,1,1,0,0,0,0,tyrann
court,1,0,1,0,0,0,0,court
warfare,1,0,1,0,1,0,0,warfar
pervert,1,1,0,0,0,0,0,pervert
smite,1,0,1,0,1,0,0,smite
perdition,1,1,1,0,1,0,0,perdit
harassing,1,0,0,0,0,0,0,harass
lawyer,1,1,1,0,0,0,0,lawyer
deterioration,1,1,1,0,1,0,0,deterior
extermination,1,0,1,0,0,0,0,extermin
disaster,1,1,1,0,1,1,0,disast
sullen,1,0,0,0,1,0,0,sullen
depreciated,1,1,1,0,1,0,0,depreci
forbidding,1,0,1,0,0,0,0,forbid
shriek,1,0,1,0,1,1,0,shriek
butcher,1,1,1,0,0,0,0,butcher
thrash,1,1,1,0,1,0,0,thrash
madman,1,0,1,0,0,0,0,madman
persecution,1,1,1,0,1,0,0,persecut
wound,1,0,1,0,1,0,0,wound
obliterated,1,0,1,0,0,0,0,obliter
squelch,1,1,0,0,0,0,0,squelch
disallowed,1,1,1,0,1,0,0,disallow
overbearing,1,0,0,0,0,0,0,overbear
recklessness,1,1,1,0,0,1,0,reckless
suspicious,1,0,0,0,0,0,0,suspici
subversive,1,0,0,0,0,1,0,subvers
bitterly,1,1,0,0,1,0,0,bitterli
noncompliance,1,0,1,0,1,0,0,noncompli
belt,1,0,1,0,0,0,0,belt
agitation,1,0,0,0,0,0,0,agit
perpetrator,1,1,1,0,1,0,0,perpetr
grab,1,0,0,0,0,0,0,grab
antagonism,1,0,0,0,0,0,0,antagon
discord,1,1,0,0,0,0,0,discord
prejudicial,1,0,0,0,0,0,0,prejudici
criticize,1,1,1,0,1,0,0,critic
scorching,1,0,0,0,0,0,0,scorch
inimical,1,0,0,0,1,0,0,inim
spine,1,0,0,0,0,0,0,spine
glaring,1,0,0,0,0,0,0,glare
struggle,1,0,1,0,1,0,0,struggl
socialist,1,1,1,0,1,0,0,socialist
schism,1,0,0,0,0,0,0,schism
veto,1,0,0,0,0,0,0,veto
sabotage,1,1,1,0,1,1,0,sabotag
frowning,1,1,0,0,1,0,0,frown
vendetta,1,0,1,0,1,0,0,vendetta
spiteful,1,0,0,0,0,0,0,spite
deadly,1,1,1,0,1,0,0,deadli
dissonance,1,0,0,0,0,0,0,disson
unthinkable,1,1,1,0,0,0,0,unthink
deprivation,1,1,1,0,1,0,0,depriv
incense,1,0,0,0,0,0,0,incens
complicate,1,0,0,0,0,0,0,complic
homicidal,1,0,1,0,0,0,0,homicid
hood,1,1,1,0,0,0,0,hood
sinister,1,1,1,0,0,0,0,sinist
alienation,1,1,1,0,1,0,0,alien
tumultuous,1,0,1,0,0,0,0,tumultu
throttle,1,0,0,0,0,0,0,throttl
choke,1,0,0,0,1,0,0,choke
inconsiderate,1,1,0,0,1,0,0,inconsider
frightful,1,0,1,0,1,0,0,fright
death,1,1,1,0,1,1,0,death
pow,1,0,0,0,0,0,0,pow
criminality,1,1,1,0,0,0,0,crimin
lunacy,1,1,1,0,1,0,0,lunaci
counsellor,1,0,1,0,0,0,0,counsellor
barb,1,0,0,0,0,0,0,barb
crushed,1,1,1,0,1,0,0,crush
cruelty,1,1,1,0,1,0,0,cruelti
anguish,1,0,1,0,1,0,0,anguish
enemy,1,1,1,0,0,0,0,enemi
abhor,1,1,1,0,0,0,0,abhor
fighting,1,0,0,0,0,0,0,fight
fraudulent,1,1,0,0,0,0,0,fraudul
scourge,1,0,1,0,1,0,0,scourg
fear,1,0,1,0,0,0,0,fear
furor,1,0,0,0,0,0,0,furor
warden,1,0,1,0,0,0,0,warden
youth,1,0,1,1,0,1,1,youth
shiver,1,0,1,0,1,0,0,shiver
threaten,1,0,1,0,0,0,0,threaten
dishonest,1,1,0,0,1,0,0,dishonest
evil,1,1,1,0,1,0,0,evil
sarcasm,1,1,0,0,1,0,0,sarcasm
invasion,1,0,0,0,0,0,0,invas
subjugation,1,1,1,0,1,0,0,subjug
boisterous,1,0,0,1,0,0,1,boister
adder,1,1,1,0,1,0,0,adder
wrongful,1,1,0,0,1,0,0,wrong
robbery,1,1,1,0,1,0,0,robberi
miserable,1,1,0,0,1,0,0,miser
pitfall,1,1,1,0,1,1,0,pitfal
enslaved,1,1,1,0,1,0,0,enslav
unlucky,1,1,1,0,1,0,0,unlucki
falsification,1,0,0,0,0,0,0,falsif
uncaring,1,1,0,0,1,0,0,uncar
ultimatum,1,0,1,0,0,0,0,ultimatum
cur,1,1,1,0,0,0,0,cur
accursed,1,0,1,0,1,0,0,accurs
claimant,1,1,0,0,0,0,0,claimant
neglected,1,1,0,0,1,0,0,neglect
saber,1,0,1,0,0,0,0,saber
preclude,1,0,0,0,0,0,0,preclud
vindicate,1,0,0,0,0,0,0,vindic
injure,1,0,1,0,1,0,0,injur
malicious,1,1,1,0,1,0,0,malici
wireless,1,0,0,0,0,1,1,wireless
crazy,1,0,1,0,1,0,0,crazi
prohibited,1,1,1,0,0,0,0,prohibit
obscenity,1,1,0,0,0,0,0,obscen
discriminate,1,0,0,0,1,0,0,discrimin
patter,1,0,0,0,0,0,0,patter
shit,1,1,0,0,0,0,0,shit
slut,1,1,0,0,0,0,0,slut
prejudice,1,0,0,0,0,0,0,prejudic
screaming,1,1,1,0,0,0,0,scream
insecure,1,0,1,0,1,0,0,insecur
gory,1,1,1,0,1,0,0,gori
erupt,1,0,0,0,0,1,0,erupt
grumble,1,1,0,0,0,0,0,grumbl
hostage,1,0,1,0,0,0,0,hostag
disagreement,1,0,0,0,1,0,0,disagr
brawl,1,1,1,0,0,0,0,brawl
treachery,1,0,1,0,1,1,0,treacheri
incongruous,1,0,0,0,0,0,0,incongru
dictatorship,1,1,1,0,1,0,0,dictatorship
torpedo,1,0,0,0,0,0,0,torpedo
despicable,1,1,0,0,0,0,0,despic
gonorrhea,1,1,1,0,1,0,0,gonorrhea
playful,1,0,0,1,0,1,0,play
misery,1,1,1,0,1,0,0,miseri
busted,1,0,1,0,0,0,0,bust
muff,1,1,0,0,0,0,0,muff
extinguish,1,0,0,0,0,0,0,extinguish
reprisal,1,0,1,0,1,0,0,repris
armed,1,0,1,0,0,0,0,arm
menacing,1,0,1,0,0,0,0,menac
arrogant,1,1,0,0,0,0,0,arrog
idiocy,1,1,0,0,1,0,0,idioci
agony,1,0,1,0,1,0,0,agoni
scoff,1,1,0,0,0,0,0,scoff
painful,1,1,1,0,1,0,0,pain
obnoxious,1,1,0,0,1,0,0,obnoxi
asshole,1,1,0,0,0,0,0,asshol
defect,1,0,0,0,0,0,0,defect
duplicity,1,0,0,0,0,0,0,duplic
money,1,0,0,1,0,1,1,money
denunciation,1,1,1,0,0,0,0,denunci
stripped,1,1,1,0,1,0,0,strip
incendiary,1,0,1,0,0,1,0,incendiari
collision,1,0,0,0,0,0,0,collis
hoax,1,1,0,0,1,1,0,hoax
deplorable,1,1,1,0,1,0,0,deplor
rejection,1,1,1,0,1,0,0,reject
sucker,1,0,0,0,0,0,0,sucker
corrupting,1,1,1,0,1,0,0,corrupt
shrill,1,0,1,0,0,1,0,shrill
cursed,1,0,1,0,1,0,0,curs
dispute,1,0,0,0,0,0,0,disput
slap,1,0,0,0,0,1,0,slap
condescension,1,1,0,0,1,0,0,condescens
orchestra,1,0,0,1,1,0,0,orchestra
